ticker,corpname,mktcap,quote
MISX-NKHP,Public Joint Stock Company Novorossyisk Grain Plant,197.0,306.0
MISX-MRKK,"Public Joint Stock Company ""ROSSETI Northern Caucasus""",195.38,9.8
MISX-MRKP,Public Joint stock company Rosseti Centre and Volga region,193.31,0.18
MISX-ROLO,Public Joint Stock Company Rusolovo,192.58,0.67
MISX-SPBE,Public Joint-Stock Company SPB Exchange,179.03,141.5
MISX-ABRD,Public Joint Stock Company Abrau-Durso,163.34,175.0
MISX-ELFV,Public Joint-Stock Company EL5-Energo,161.37,0.48
MISX-UCSS,Public Joint Stock Company United Credit Systems,159.26,705.0
MISX-JNOS,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,156.75,14.2
MISX-DVEC,Public joint stock company FAR-EASTERN ENERGY COMPANY,140.93,0.86
MISX-MRKU,"Interregional Distribution Grid Company of Urals, Joint Stock Company ",126.24,
MISX-BLNG,Belon Joint Stock Company,109.74,10.02
MISX-CHMK,Chelyabinsk Metallurgical Plant PAO,101.34,3365.0
MISX-RKKE,S.P. Korolev Rocket and Space Public Corporation Energia Open Joint Stock Company,100.39,5820.0
MISX-MRKC,Public Joint Stock Company Rosseti Centre,99.15,0.25
MISX-TTLK,Tattelecom Public Joint-Stock Company,98.36,0.49
MISX-KRKO,Public Joint Stock Company The Taganrog Boiler-Making Works Krasny Kotelshchik,97.02,11.8
MISX-GEMA,International Medical Center of Biomaterials Processing and Cryostorage Public Joint-stock company,95.55,672.0
MISX-TNSE,Public Joint Stock Company Group of Companies TNS energo,91.77,705.0
MISX-KOGK,Korshynov Mining Plant Public Joint Stock Company ,83.85,
MISX-AMEZ,"Public Joint Stock Company ""Ashinskiy metallurgical works"" ",79.26,
MISX-KRKN,Public Joint Stock Company Saratov Oil Refinery ,55.57,
MISX-MRKV,Public Joint Stock Company Rosseti Volga ,54.34,
MISX-SVAV,Sollers Public Joint Stock Company ,53.23,
MISX-MGNZ,Open joint stock company Solikamsk magnesium works ,39.6,
MISX-RTGZ,Public Joint Stock Company Gazprom Gazoraspredelenie Rostov-na-Donu,27.26,23800.0
MISX-YKEN,Public joint stock company Yakutskenergo ,26.39,
MISX-NKSH,PJSC Nizhnekamskshina ,14.37,
MISX-TORS,public-stock company Tomsk distribution company ,10.72,
MISX-VGSB,Volgogradenergosbyt Public Joint-Stock Company ,10.35,
MISX-ENPG,En+ Group International Public Joint-Stock Company ,,
MISX-CHGZ,Public Joint Stock Company RN-Western Siberia ,,
MISX-RUAL,,,
MISX-NLMK,,,
